continent,continentCode,country,countryCode,primaryHEX,primaryRGB,primaryHSL,primaryCSS,secondaryHEX,secondaryRGB,secondaryHSL,secondaryCSS,secondaryNotes
North America,NA,Trinidad and Tobago,TTO,#db1332/#ffffff/#000000,"rgb(219,19,50)/rgb(255,255,255)/rgb(0,0,0)","hsl(351,84%,47%)/hsl(0,0%,100%)/hsl(0,0%,0%)",crimson/white/black,,,,,
Africa,AF,Tunisia,TUN,#e8000b/#ffffff,"rgb(232,0,11)/rgb(255,255,255)","hsl(357,100%,46%)/hsl(0,0%,100%)",red/white,,,,,
Asia,AS,Turkey,TUR,#e4030f/#ffffff,"rgb(228,3,15)/rgb(255,255,255)","hsl(357,97%,45%)/hsl(0,0%,100%)",red/white,#0cc2f2/#b54358,"rgb(12,194,242)/rgb(181,67,88)","hsl(193,91%,50%)/hsl(349,46%,49%)",deepskyblue/indianred,Colors used by Trabzonspor.
Asia,AS,Turkmenistan,TKM,#00853b/#ffffff/#d3212d,"rgb(0,133,59)/rgb(255,255,255)/rgb(211,33,45)","hsl(147,100%,26%)/hsl(0,0%,100%)/hsl(356,73%,48%)",forestgreen/white/crimson,#faaf25,"rgb(250,175,37)","hsl(39,96%,56%)",goldenrod,Color from the standard of the president of Turkmenistan.
North America,NA,Turks and Caicos Islands,TCA,#002468/#cf0921/#ffffff/#fcd20f,"rgb(0,36,104)/rgb(207,9,33)/rgb(255,255,255)/rgb(252,210,15)","hsl(219,100%,20%)/hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(49,98%,52%)",midnightblue/crimson/white/gold,#6eaea1,"rgb(110,174,161)","hsl(168,28%,56%)",cadetblue,Color used in sports.
Oceania,OC,Tuvalu,TUV,#0096ca/#fede00,"rgb(0,150,202)/rgb(254,222,0)","hsl(195,100%,40%)/hsl(52,100%,50%)",lightseagreen/gold,#00247d/#fee014,"rgb(0,36,125)/rgb(254,224,20)","hsl(223,100%,25%)/hsl(52,99%,54%)",midnightblue/gold,Colors used in the flag of the Govenor-General of Tuvalu.
Africa,AF,Uganda,UGA,#000000/#fcdd00/#da0000,"rgb(0,0,0)/rgb(252,221,0)/rgb(218,0,0)","hsl(0,0%,0%)/hsl(53,100%,49%)/hsl(0,100%,43%)",black/gold/red,,,,,
Europe,EU,Ukraine,UKR,#005abd/#ffd600,"rgb(0,90,189)/rgb(255,214,0)","hsl(211,100%,37%)/hsl(50,100%,50%)",darkcyan/gold,,,,,
Asia,AS,United Arab Emirates,ARE,#ff0000/#00732b/#ffffff/#000000,"rgb(255,0,0)/rgb(0,115,43)/rgb(255,255,255)/rgb(0,0,0)","hsl(0,100%,50%)/hsl(142,100%,23%)/hsl(0,0%,100%)/hsl(0,0%,0%)",red/forestgreen/white/black,,,,,
Europe,EU,United Kingdom,GBR,#c9072a/#ffffff/#001c69,"rgb(201,7,42)/rgb(255,255,255)/rgb(0,28,105)","hsl(349,93%,41%)/hsl(0,0%,100%)/hsl(224,100%,21%)",crimson/white/midnightblue,#004225,"rgb(0,66,37)","hsl(154,100%,13%)",darkgreen,Color used in motor racing.
North America,NA,United States of America,USA,#b41d31/#ffffff/#39386e,"rgb(180,29,49)/rgb(255,255,255)/rgb(57,56,110)","hsl(352,72%,41%)/hsl(0,0%,100%)/hsl(241,33%,33%)",firebrick/white/darkslateblue,,,,,
Oceania,OC,United States Minor Outlying Islands,UMI,#b41d31/#ffffff/#39386e,"rgb(180,29,49)/rgb(255,255,255)/rgb(57,56,110)","hsl(352,72%,41%)/hsl(0,0%,100%)/hsl(241,33%,33%)",firebrick/white/darkslateblue,,,,,
South America,SA,Uruguay,URY,#0035a9/#ffffff/#fcd20f/#7c3d00,"rgb(0,53,169)/rgb(255,255,255)/rgb(252,210,15)/rgb(124,61,0)","hsl(221,100%,33%)/hsl(0,0%,100%)/hsl(49,98%,52%)/hsl(30,100%,24%)",darkblue/white/gold/saddlebrown,#54b7e6/#d90007/#000000,"rgb(84,183,230)/rgb(217,0,7)/rgb(0,0,0)","hsl(199,75%,62%)/hsl(358,100%,43%)/hsl(0,0%,0%)",cornflowerblue/red/black,Colors used in sports.
Asia,AS,Uzbekistan,UZB,#009ab7/#ffffff/#cf0921/#18b737,"rgb(0,154,183)/rgb(255,255,255)/rgb(207,9,33)/rgb(24,183,55)","hsl(190,100%,36%)/hsl(0,0%,100%)/hsl(353,92%,42%)/hsl(132,77%,41%)",lightseagreen/white/crimson/limegreen,,,,,
Oceania,OC,Vanuatu,VUT,#d30731/#000000/#fdcf0a/#009641,"rgb(211,7,49)/rgb(0,0,0)/rgb(253,207,10)/rgb(0,150,65)","hsl(348,94%,43%)/hsl(0,0%,0%)/hsl(49,98%,52%)/hsl(146,100%,29%)",crimson/black/gold/forestgreen,,,,,
South America,SA,Venezuela,VEN,#ffcd00/#001f7e/#d00c27,"rgb(255,205,0)/rgb(0,31,126)/rgb(208,12,39)","hsl(48,100%,50%)/hsl(225,100%,25%)/hsl(352,89%,43%)",gold/midnightblue/crimson,#8b0225,"rgb(139,2,37)","hsl(345,97%,28%)",darkred,Color used in sports.
Asia,AS,Vietnam,VNM,#db2017/#ffff00,"rgb(219,32,23)/rgb(255,255,0)","hsl(3,81%,48%)/hsl(60,100%,50%)",crimson/yellow,#ffffff,"rgb(255,255,255)","hsl(0,0%,100%)",white,Color used in sports.
North America,NA,British Virgin Islands,VGB,#006125/#ffc828/#ffffff/#001c69,"rgb(0,97,37)/rgb(255,200,40)/rgb(255,255,255)/rgb(0,28,105)","hsl(143,100%,19%)/hsl(45,100%,58%)/hsl(0,0%,100%)/hsl(224,100%,21%)",darkgreen/gold/white/midnightblue,,,,,
North America,NA,US Virgin Islands,VIR,#f4c63b/#ffffff/#0082c7/#339541,"rgb(244,198,59)/rgb(255,255,255)/rgb(0,130,199)/rgb(51,149,65)","hsl(45,89%,59%)/hsl(0,0%,100%)/hsl(201,100%,39%)/hsl(129,49%,39%)",goldenrod/white/darkcyan/seagreen,#252d95,"rgb(37,45,149)","hsl(236,60%,37%)",darkslateblue,Color used in sports.
Europe,EU,Wales,WAL,#d30731/#00ac36/#ffffff,"rgb(211,7,49)/rgb(0,172,54)/rgb(255,255,255)","hsl(348,94%,43%)/hsl(139,100%,34%)/hsl(0,0%,100%)",crimson/forestgreen/white,,,,,
Oceania,OC,Wallis and Futuna,WLF,#ed2939/#ffffff,"rgb(237,41,57)/rgb(255,255,255)","hsl(355,85%,55%)/hsl(0,0%,100%)",crimson/white,#001e96/#ffffff/#ee2536,"rgb(0,30,150)/rgb(255,255,255)/rgb(238,37,54)","hsl(228,100%,29%)/hsl(0,0%,100%)/hsl(355,86%,54%)",darkblue/white/crimson,Colors of the official French national flag.
Africa,AF,Western Sahara,ESH,#000000/#ffffff/#007a3d/#c4111b,"rgb(0,0,0)/rgb(255,255,255)/rgb(0,122,61)/rgb(196,17,27)","hsl(0,0%,0%)/hsl(0,0%,100%)/hsl(150,100%,24%)/hsl(357,84%,42%)",black/white/forestgreen/firebrick,,,,,
Asia,AS,Yemen,YEM,#cf0921/#ffffff/#000000,"rgb(207,9,33)/rgb(255,255,255)/rgb(0,0,0)","hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(0,0%,0%)",crimson/white/black,,,,,
Africa,AF,Zambia,ZMB,#009e49/#ef3340/#000000/#fcad56,"rgb(0,158,73)/rgb(239,51,64)/rgb(0,0,0)/rgb(252,173,86)","hsl(148,100%,31%)/hsl(356,86%,57%)/hsl(0,0%,0%)/hsl(31,97%,66%)",seagreen/crimson/black/sandybrown,,,,,
Africa,AF,Zimbabwe,ZWE,#006400/#ffcd00/#d50000/#000000/#ffffff,"rgb(0,100,0)/rgb(255,205,0)/rgb(213,0,0)/rgb(0,0,0)/rgb(255,255,255)","hsl(120,100%,20%)/hsl(48,100%,50%)/hsl(0,100%,42%)/hsl(0,0%,0%)/hsl(0,0%,100%)",darkgreen/gold/red/black/white,,,,,
